Format Version,1.25,Take Name,Take 2025-11-28 07.16.28 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.16.28.638 PM,Capture Start Frame,3388050,Total Frames in Take,1409,Total Exported Frames,1409,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.006976,0.398604,0.011689,0.917022,-215.931839,92.231621,84.218147
1,0.008333,-0.006981,0.398738,0.011185,0.916970,-215.934586,92.236557,84.221321
2,0.016667,-0.006989,0.398787,0.010953,0.916952,-215.936096,92.237328,84.222588
3,0.025000,-0.006944,0.398767,0.011044,0.916960,-215.936783,92.236290,84.221786
4,0.033333,-0.006554,0.397628,0.015032,0.917400,-215.915726,92.201187,84.189278
5,0.041667,-0.005723,0.396697,0.018904,0.917737,-215.915054,92.167488,84.169945
6,0.050000,-0.005296,0.396169,0.020933,0.917924,-215.912384,92.148300,84.162346
7,0.058333,-0.005116,0.396064,0.021766,0.917951,-215.910507,92.139900,84.160660
8,0.066667,-0.005153,0.396091,0.021789,0.917938,-215.909744,92.139786,84.162155
9,0.075000,-0.005248,0.396240,0.020918,0.917894,-215.909653,92.146393,84.167900
10,0.083333,-0.005630,0.396600,0.019493,0.917767,-215.911179,92.161034,84.175896
11,0.091667,-0.005985,0.397006,0.017850,0.917623,-215.912750,92.176392,84.183899
12,0.100000,-0.006435,0.397379,0.016096,0.917491,-215.914917,92.192276,84.193634
13,0.108333,-0.006840,0.397842,0.014322,0.917317,-215.918976,92.207748,84.205360
14,0.116667,-0.006987,0.398267,0.012799,0.917154,-215.924164,92.220345,84.214584
15,0.125000,-0.007030,0.398496,0.011847,0.917067,-215.928894,92.229530,84.220871
16,0.133333,-0.007035,0.398669,0.011200,0.917000,-215.931442,92.236359,84.223328
17,0.141667,-0.007065,0.398794,0.010920,0.916948,-215.932678,92.238632,84.224442
18,0.150000,-0.007033,0.398733,0.010968,0.916974,-215.934158,92.238007,84.223442
19,0.158333,-0.006936,0.398706,0.011153,0.916985,-215.933746,92.234650,84.221649
20,0.166667,-0.006977,0.398633,0.011672,0.917010,-215.934113,92.231010,84.218697
21,0.175000,-0.006872,0.398461,0.012227,0.917078,-215.932968,92.226883,84.215630
22,0.183333,-0.006850,0.398331,0.012811,0.917127,-215.930756,92.222878,84.212708
23,0.191667,-0.006899,0.398138,0.013454,0.917201,-215.928360,92.218056,84.209229
24,0.200000,-0.006748,0.397997,0.013926,0.917256,-215.926224,92.213005,84.206596
25,0.208333,-0.006691,0.397871,0.014222,0.917307,-215.924835,92.208466,84.204292
26,0.216667,-0.006722,0.397808,0.014457,0.917330,-215.922363,92.206589,84.201355
27,0.225000,-0.006728,0.397758,0.014701,0.917348,-215.920776,92.204910,84.201187
28,0.233333,-0.006643,0.397749,0.014682,0.917353,-215.919617,92.205078,84.201263
29,0.241667,-0.006581,0.397710,0.014577,0.917372,-215.918686,92.205276,84.202599
30,0.250000,-0.006785,0.397724,0.014500,0.917365,-215.918869,92.206558,84.204498
31,0.258333,-0.006798,0.397804,0.014348,0.917333,-215.919678,92.207985,84.205803
32,0.266667,-0.006637,0.397876,0.014102,0.917307,-215.920441,92.209885,84.206558
33,0.275000,-0.006632,0.397960,0.013907,0.917273,-215.921051,92.212196,84.207764
34,0.283333,-0.006681,0.398034,0.013774,0.917243,-215.922455,92.213226,84.208855
35,0.291667,-0.006803,0.398064,0.013565,0.917232,-215.924332,92.214493,84.209389
36,0.300000,-0.006795,0.398095,0.013451,0.917220,-215.925720,92.216187,84.209503
37,0.308333,-0.006766,0.398139,0.013371,0.917203,-215.926788,92.216103,84.209320
38,0.316667,-0.006683,0.398081,0.013353,0.917229,-215.927750,92.216858,84.210594
39,0.325000,-0.006666,0.398126,0.013324,0.917210,-215.927917,92.216904,84.210114
40,0.333333,-0.006605,0.398110,0.013365,0.917217,-215.928314,92.215813,84.210472
41,0.341667,-0.006600,0.398126,0.013452,0.917208,-215.927429,92.215080,84.209778
42,0.350000,-0.006732,0.398050,0.013468,0.917240,-215.927261,92.215820,84.209900
43,0.358333,-0.006750,0.398053,0.013532,0.917238,-215.926193,92.215317,84.209412
44,0.366667,-0.006776,0.398025,0.013584,0.917249,-215.924835,92.213852,84.209808
45,0.375000,-0.006762,0.398037,0.013621,0.917243,-215.923615,92.213264,84.209312
46,0.383333,-0.006774,0.398007,0.013684,0.917256,-215.923645,92.213371,84.209923
47,0.391667,-0.006815,0.397966,0.013723,0.917272,-215.923447,92.212982,84.210472
48,0.400000,-0.006790,0.398042,0.013732,0.917239,-215.922546,92.212326,84.209732
49,0.408333,-0.006784,0.397989,0.013796,0.917261,-215.923309,92.212250,84.209862
50,0.416667,-0.006752,0.398077,0.013795,0.917224,-215.922714,92.212563,84.209099
51,0.425000,-0.006766,0.398031,0.013762,0.917244,-215.923737,92.214348,84.208572
52,0.433333,-0.006780,0.397971,0.013623,0.917272,-215.924240,92.213501,84.209091
53,0.441667,-0.006826,0.398020,0.013672,0.917250,-215.925095,92.213615,84.208458
54,0.450000,-0.006775,0.398050,0.013708,0.917236,-215.925674,92.213402,84.207954
55,0.458333,-0.006795,0.398040,0.013701,0.917240,-215.925980,92.213593,84.208679
56,0.466667,-0.006741,0.398052,0.013715,0.917236,-215.926270,92.214027,84.208420
57,0.475000,-0.006719,0.398057,0.013695,0.917234,-215.926437,92.213852,84.209335
58,0.483333,-0.006805,0.398046,0.013624,0.917239,-215.926529,92.213829,84.209480
59,0.491667,-0.006734,0.398002,0.013626,0.917259,-215.926056,92.212830,84.210075
60,0.500000,-0.006701,0.398041,0.013594,0.917243,-215.925430,92.212402,84.210129
61,0.508333,-0.006722,0.398043,0.013600,0.917241,-215.925018,92.212273,84.210503
62,0.516667,-0.006757,0.398049,0.013662,0.917238,-215.924194,92.212471,84.211342
63,0.525000,-0.006698,0.398036,0.013552,0.917245,-215.922287,92.213150,84.210297
64,0.533333,-0.006782,0.398029,0.013615,0.917247,-215.921783,92.213135,84.209755
65,0.541667,-0.006838,0.398054,0.013641,0.917235,-215.921448,92.213974,84.209557
66,0.550000,-0.006832,0.398062,0.013640,0.917232,-215.920685,92.214409,84.209183
67,0.558333,-0.006772,0.398021,0.013610,0.917250,-215.919830,92.214851,84.209015
68,0.566667,-0.006736,0.398073,0.013599,0.917228,-215.920563,92.214218,84.207672
69,0.575000,-0.006814,0.398057,0.013543,0.917236,-215.921112,92.213707,84.207626
70,0.583333,-0.006700,0.398076,0.013581,0.917228,-215.921432,92.212662,84.207413
71,0.591667,-0.006646,0.398062,0.013566,0.917234,-215.921310,92.212563,84.207275
