Format Version,1.25,Take Name,Take 2025-11-28 07.50.27 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.50.28.138 PM,Capture Start Frame,3632785,Total Frames in Take,1456,Total Exported Frames,1456,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.015180,-0.362787,-0.000260,0.931749,-215.765900,92.219696,83.361435
1,0.008333,-0.015226,-0.362825,-0.000295,0.931733,-215.764145,92.221741,83.356392
2,0.016667,-0.015176,-0.362841,-0.000383,0.931727,-215.762970,92.221489,83.353188
3,0.025000,-0.015329,-0.362865,-0.000410,0.931716,-215.762070,92.221794,83.351776
4,0.033333,-0.015269,-0.362856,-0.000294,0.931720,-215.761688,92.220818,83.351624
5,0.041667,-0.015268,-0.362873,-0.000269,0.931714,-215.760971,92.221039,83.351883
6,0.050000,-0.015112,-0.362850,-0.000241,0.931725,-215.761917,92.220116,83.353378
7,0.058333,-0.015027,-0.362863,-0.000290,0.931721,-215.761978,92.219284,83.354340
8,0.066667,-0.014991,-0.362829,-0.000300,0.931735,-215.763474,92.220131,83.354912
9,0.075000,-0.015011,-0.362838,-0.000351,0.931731,-215.765686,92.219772,83.357849
10,0.083333,-0.015075,-0.362815,-0.000301,0.931739,-215.767044,92.219460,83.359787
11,0.091667,-0.014921,-0.362768,-0.000047,0.931760,-215.770584,92.218887,83.362595
12,0.100000,-0.014936,-0.362777,-0.000056,0.931756,-215.771729,92.219147,83.363525
13,0.108333,-0.014964,-0.362764,-0.000237,0.931761,-215.768738,92.218895,83.362999
14,0.116667,-0.015059,-0.362776,-0.000174,0.931755,-215.767334,92.218620,83.361107
15,0.125000,-0.015055,-0.362766,-0.000207,0.931759,-215.766006,92.218491,83.359245
16,0.133333,-0.015111,-0.362823,-0.000206,0.931736,-215.764801,92.218773,83.357407
17,0.141667,-0.015274,-0.362926,-0.000148,0.931693,-215.764206,92.219009,83.356285
18,0.150000,-0.015212,-0.362874,-0.000180,0.931714,-215.765381,92.220299,83.356598
19,0.158333,-0.015175,-0.362878,-0.000152,0.931713,-215.765976,92.219109,83.357513
20,0.166667,-0.014982,-0.362820,-0.000180,0.931739,-215.766617,92.217781,83.359734
21,0.175000,-0.014984,-0.362789,-0.000249,0.931751,-215.767807,92.219086,83.360443
22,0.183333,-0.014922,-0.362818,-0.000119,0.931741,-215.770630,92.218750,83.361374
23,0.191667,-0.014879,-0.362725,-0.000210,0.931777,-215.770691,92.219299,83.362274
24,0.200000,-0.015071,-0.362793,-0.000316,0.931748,-215.768265,92.219536,83.360863
25,0.208333,-0.015147,-0.362842,-0.000241,0.931727,-215.766525,92.221245,83.358536
26,0.216667,-0.015206,-0.362841,-0.000122,0.931727,-215.765976,92.220482,83.357727
27,0.225000,-0.015228,-0.362829,-0.000254,0.931732,-215.765045,92.219841,83.357903
28,0.233333,-0.015269,-0.362828,-0.000200,0.931731,-215.765305,92.220703,83.358597
29,0.241667,-0.015468,-0.362897,-0.000207,0.931701,-215.764923,92.221519,83.358162
30,0.250000,-0.015453,-0.362869,-0.000024,0.931712,-215.766220,92.221214,83.360115
31,0.258333,-0.015361,-0.362864,-0.000233,0.931715,-215.766647,92.221764,83.361893
32,0.266667,-0.015344,-0.362793,-0.000194,0.931743,-215.770050,92.220360,83.363815
33,0.275000,-0.015173,-0.362742,-0.000136,0.931766,-215.771027,92.220444,83.365913
34,0.283333,-0.015203,-0.362702,-0.000172,0.931781,-215.770599,92.220116,83.365799
35,0.291667,-0.015130,-0.362712,-0.000293,0.931778,-215.769379,92.220688,83.363190
36,0.300000,-0.015113,-0.362758,-0.000315,0.931761,-215.767532,92.219742,83.361305
37,0.308333,-0.015174,-0.362791,-0.000413,0.931747,-215.766403,92.219856,83.359505
38,0.316667,-0.015105,-0.362804,-0.000221,0.931743,-215.767197,92.218956,83.358856
39,0.325000,-0.015074,-0.362821,-0.000276,0.931737,-215.767166,92.218246,83.357910
40,0.333333,-0.015040,-0.362838,-0.000291,0.931731,-215.767319,92.218719,83.359016
41,0.341667,-0.015060,-0.362807,-0.000178,0.931742,-215.768387,92.218201,83.359970
42,0.350000,-0.015232,-0.362803,-0.000108,0.931742,-215.769745,92.216835,83.361366
43,0.358333,-0.015220,-0.362815,-0.000150,0.931737,-215.769867,92.217888,83.361649
44,0.366667,-0.015163,-0.362781,-0.000065,0.931751,-215.768387,92.217522,83.360321
45,0.375000,-0.015158,-0.362861,-0.000190,0.931720,-215.767426,92.219093,83.359184
46,0.383333,-0.015292,-0.362887,-0.000186,0.931708,-215.766739,92.218872,83.357498
47,0.391667,-0.015272,-0.362893,-0.000173,0.931706,-215.766815,92.219727,83.357323
48,0.400000,-0.015255,-0.362841,-0.000255,0.931726,-215.766785,92.219826,83.357391
49,0.408333,-0.015225,-0.362837,-0.000305,0.931728,-215.767792,92.220734,83.358688
50,0.416667,-0.015059,-0.362830,-0.000298,0.931733,-215.768738,92.219429,83.361183
51,0.425000,-0.015090,-0.362786,-0.000229,0.931750,-215.770096,92.218567,83.362648
52,0.433333,-0.014956,-0.362738,-0.000210,0.931771,-215.770767,92.216675,83.363777
53,0.441667,-0.014815,-0.362722,-0.000194,0.931780,-215.770096,92.217728,83.362579
54,0.450000,-0.014783,-0.362719,-0.000261,0.931781,-215.768127,92.217133,83.361076
55,0.458333,-0.014933,-0.362789,-0.000218,0.931752,-215.767197,92.217522,83.359596
56,0.466667,-0.014950,-0.362823,-0.000237,0.931738,-215.767197,92.216888,83.360252
57,0.475000,-0.015017,-0.362761,-0.000191,0.931761,-215.767715,92.216751,83.360512
58,0.483333,-0.015115,-0.362816,-0.000204,0.931738,-215.768524,92.217857,83.360275
59,0.491667,-0.015013,-0.362825,-0.000143,0.931736,-215.769501,92.218399,83.360603
60,0.500000,-0.015037,-0.362815,-0.000172,0.931740,-215.770081,92.218712,83.360947
61,0.508333,-0.015192,-0.362833,-0.000181,0.931730,-215.769501,92.219460,83.359489
62,0.516667,-0.015240,-0.362790,-0.000066,0.931747,-215.767975,92.218369,83.359024
63,0.525000,-0.015197,-0.362819,-0.000188,0.931736,-215.767334,92.217911,83.359940
64,0.533333,-0.015164,-0.362822,-0.000213,0.931735,-215.767502,92.217827,83.359077
65,0.541667,-0.015170,-0.362831,-0.000246,0.931732,-215.767746,92.219154,83.358788
66,0.550000,-0.015081,-0.362785,-0.000238,0.931751,-215.768646,92.219513,83.359589
67,0.558333,-0.015119,-0.362834,-0.000105,0.931731,-215.769058,92.218109,83.360031
68,0.566667,-0.015059,-0.362821,-0.000058,0.931737,-215.769669,92.217445,83.361755
