Format Version,1.25,Take Name,Take 2025-11-28 07.34.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.34.17.618 PM,Capture Start Frame,3516325,Total Frames in Take,1404,Total Exported Frames,1404,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large,SEE_large
,ID,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291,B4680608301811F031C44B617C10C291
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.012898,-0.369207,-0.000198,0.929258,-215.825409,92.165016,83.362534
1,0.008333,-0.012717,-0.369144,-0.000189,0.929285,-215.826202,92.164581,83.361908
2,0.016667,-0.012684,-0.369168,-0.000104,0.929276,-215.825836,92.165604,83.361298
3,0.025000,-0.012830,-0.369212,-0.000192,0.929257,-215.826157,92.166985,83.362183
4,0.033333,-0.012913,-0.369114,-0.000698,0.929294,-215.822632,92.173012,83.364120
5,0.041667,-0.012933,-0.369138,-0.000160,0.929285,-215.825485,92.167435,83.364334
6,0.050000,-0.012959,-0.369104,-0.000074,0.929298,-215.826538,92.165901,83.363907
7,0.058333,-0.012959,-0.369172,-0.000057,0.929271,-215.826675,92.165146,83.362755
8,0.066667,-0.012851,-0.369174,0.000021,0.929271,-215.826996,92.164253,83.362076
9,0.075000,-0.012773,-0.369214,-0.000153,0.929257,-215.826660,92.165718,83.361794
10,0.083333,-0.012780,-0.369189,-0.000232,0.929267,-215.826324,92.163910,83.363113
11,0.091667,-0.012788,-0.369155,-0.000201,0.929280,-215.827759,92.163857,83.363586
12,0.100000,-0.012800,-0.369152,-0.000150,0.929281,-215.828018,92.164490,83.362793
13,0.108333,-0.012767,-0.369148,-0.000317,0.929283,-215.827103,92.165688,83.363632
14,0.116667,-0.012668,-0.369154,-0.000780,0.929281,-215.823776,92.170624,83.366356
15,0.125000,-0.012620,-0.369173,-0.000077,0.929275,-215.827850,92.164902,83.363304
16,0.133333,-0.012724,-0.369181,-0.000752,0.929270,-215.823013,92.170509,83.364944
17,0.141667,-0.012915,-0.369215,-0.000352,0.929254,-215.825027,92.166100,83.362671
18,0.150000,-0.012879,-0.369142,-0.000166,0.929284,-215.826752,92.165878,83.362869
19,0.158333,-0.012870,-0.369212,-0.000203,0.929256,-215.827042,92.165405,83.362892
20,0.166667,-0.012844,-0.369216,-0.000193,0.929255,-215.826035,92.165138,83.362259
21,0.175000,-0.012859,-0.369197,-0.000297,0.929262,-215.826248,92.165215,83.361954
22,0.183333,-0.012794,-0.369111,-0.000932,0.929297,-215.823364,92.171844,83.364449
23,0.191667,-0.012950,-0.369193,-0.000135,0.929263,-215.826874,92.165222,83.363167
24,0.200000,-0.012787,-0.369170,-0.000137,0.929274,-215.826538,92.166748,83.361725
25,0.208333,-0.012713,-0.369157,-0.000096,0.929280,-215.826889,92.166016,83.361122
26,0.216667,-0.012719,-0.369158,-0.000743,0.929279,-215.824265,92.171654,83.363136
27,0.225000,-0.012745,-0.369192,-0.000053,0.929266,-215.827347,92.165497,83.361801
28,0.233333,-0.012838,-0.369188,-0.000166,0.929266,-215.826416,92.164467,83.362694
29,0.241667,-0.012848,-0.369155,-0.000034,0.929279,-215.828278,92.163887,83.362984
30,0.250000,-0.012904,-0.369258,-0.000245,0.929238,-215.827362,92.165848,83.363892
31,0.258333,-0.012853,-0.369172,-0.000248,0.929272,-215.827423,92.165764,83.363945
32,0.266667,-0.012797,-0.369221,-0.000283,0.929254,-215.826752,92.165802,83.363358
33,0.275000,-0.012844,-0.369204,-0.000104,0.929260,-215.827805,92.164566,83.362579
34,0.283333,-0.012909,-0.369122,-0.000093,0.929291,-215.828018,92.164627,83.363167
35,0.291667,-0.012863,-0.369150,-0.000667,0.929281,-215.824814,92.171280,83.365799
36,0.300000,-0.012896,-0.369205,-0.000178,0.929259,-215.827759,92.165878,83.363441
37,0.308333,-0.012876,-0.369221,-0.000220,0.929252,-215.826202,92.165070,83.362373
38,0.316667,-0.012814,-0.369177,-0.000113,0.929271,-215.827637,92.164757,83.362358
39,0.325000,-0.012835,-0.369153,-0.000098,0.929280,-215.828400,92.164520,83.361549
40,0.333333,-0.012859,-0.369161,-0.000090,0.929277,-215.827988,92.164627,83.360390
41,0.341667,-0.012654,-0.369163,-0.000834,0.929278,-215.824585,92.171600,83.363945
42,0.350000,-0.012874,-0.369217,-0.000216,0.929254,-215.826935,92.165878,83.361229
43,0.358333,-0.012741,-0.369140,-0.000647,0.929286,-215.824310,92.170776,83.363708
44,0.366667,-0.012715,-0.369108,-0.000155,0.929300,-215.827103,92.165329,83.362991
45,0.375000,-0.012670,-0.369132,-0.000100,0.929291,-215.828232,92.163757,83.362869
46,0.383333,-0.012751,-0.369214,-0.000060,0.929257,-215.827225,92.163559,83.362915
47,0.391667,-0.012685,-0.369196,-0.000002,0.929265,-215.827972,92.163834,83.363884
48,0.400000,-0.012831,-0.369214,-0.000245,0.929256,-215.827362,92.165146,83.365341
49,0.408333,-0.012800,-0.369221,-0.000080,0.929253,-215.827866,92.164551,83.365982
50,0.416667,-0.012858,-0.369154,-0.000082,0.929279,-215.828201,92.164589,83.366188
51,0.425000,-0.012876,-0.369200,-0.000110,0.929261,-215.828125,92.165771,83.366371
52,0.433333,-0.012885,-0.369232,-0.000026,0.929248,-215.828796,92.164246,83.366364
53,0.441667,-0.012907,-0.369160,-0.000047,0.929276,-215.829086,92.164299,83.365440
54,0.450000,-0.012754,-0.369205,-0.000179,0.929261,-215.828018,92.165985,83.365372
55,0.458333,-0.012782,-0.369167,-0.000758,0.929275,-215.824982,92.170845,83.367241
56,0.466667,-0.012801,-0.369123,-0.000062,0.929293,-215.828796,92.164619,83.364166
57,0.475000,-0.012881,-0.369159,-0.000178,0.929277,-215.827362,92.164192,83.363358
58,0.483333,-0.012723,-0.369149,-0.000858,0.929283,-215.823334,92.171463,83.364677
59,0.491667,-0.012736,-0.369218,-0.000339,0.929256,-215.824860,92.165726,83.361595
60,0.500000,-0.012839,-0.369172,-0.000149,0.929273,-215.826065,92.164825,83.360573
61,0.508333,-0.012825,-0.369207,-0.000293,0.929259,-215.824265,92.165794,83.360878
62,0.516667,-0.012754,-0.369172,-0.000616,0.929273,-215.821198,92.171028,83.362732
63,0.525000,-0.012938,-0.369129,-0.000084,0.929288,-215.824203,92.165390,83.360222
64,0.533333,-0.012991,-0.369126,-0.000106,0.929289,-215.824203,92.165871,83.360748
65,0.541667,-0.012857,-0.369139,-0.000222,0.929285,-215.822601,92.165962,83.361778
66,0.550000,-0.012974,-0.369178,-0.000119,0.929268,-215.821548,92.163429,83.360786
67,0.558333,-0.012945,-0.369165,0.000026,0.929274,-215.821716,92.164955,83.361374
68,0.566667,-0.012852,-0.369156,-0.000086,0.929279,-215.820862,92.164787,83.362778
