Format Version,1.25,Take Name,Take 2025-11-28 06.24.31 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.24.31.538 PM,Capture Start Frame,3014007,Total Frames in Take,1161,Total Exported Frames,1161,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.010313,-0.023673,0.015370,-0.999548,-215.236313,90.104774,84.606140
1,0.008333,-0.010242,-0.023683,0.015359,-0.999549,-215.236252,90.104904,84.605698
2,0.016667,-0.010355,-0.023723,0.015370,-0.999547,-215.237381,90.105652,84.605232
3,0.025000,-0.010399,-0.023692,0.015358,-0.999547,-215.236526,90.104042,84.605049
4,0.033333,-0.010386,-0.023692,0.015349,-0.999548,-215.236954,90.103279,84.605637
5,0.041667,-0.010495,-0.023671,0.015321,-0.999547,-215.235870,90.101593,84.604912
6,0.050000,-0.010437,-0.023684,0.015420,-0.999546,-215.235687,90.100517,84.605629
7,0.058333,-0.010390,-0.023732,0.015467,-0.999545,-215.237122,90.101334,84.605812
8,0.066667,-0.010345,-0.023707,0.015426,-0.999546,-215.237808,90.103233,84.604385
9,0.075000,-0.010425,-0.023717,0.015411,-0.999546,-215.237885,90.104294,84.605202
10,0.083333,-0.010336,-0.023701,0.015226,-0.999550,-215.238098,90.104416,84.605164
11,0.091667,-0.010367,-0.023750,0.015261,-0.999548,-215.238785,90.104408,84.605049
12,0.100000,-0.010429,-0.023764,0.015254,-0.999547,-215.238113,90.102982,84.605675
13,0.108333,-0.010379,-0.023706,0.015399,-0.999547,-215.238052,90.102501,84.604515
14,0.116667,-0.009940,-0.024166,0.014585,-0.999552,-215.238113,90.097008,84.611229
15,0.125000,-0.010269,-0.023896,0.015008,-0.999549,-215.235764,90.100052,84.608719
16,0.133333,-0.010479,-0.023658,0.015366,-0.999547,-215.236237,90.103828,84.605751
17,0.141667,-0.010492,-0.023598,0.015424,-0.999548,-215.236954,90.103905,84.603432
18,0.150000,-0.010447,-0.023673,0.015411,-0.999546,-215.236618,90.102730,84.602829
