Format Version,1.25,Take Name,Take 2025-11-28 07.00.47 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 07.00.47.907 PM,Capture Start Frame,3275165,Total Frames in Take,1086,Total Exported Frames,1086,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.010226,-0.023344,0.014851,-0.999565,-215.257385,90.110214,84.478706
1,0.008333,-0.010272,-0.023312,0.014880,-0.999565,-215.257233,90.109604,84.479324
2,0.016667,-0.010177,-0.023329,0.014812,-0.999566,-215.258057,90.109489,84.480164
3,0.025000,-0.010273,-0.023284,0.014851,-0.999566,-215.257050,90.108780,84.478432
4,0.033333,-0.010384,-0.023281,0.015001,-0.999563,-215.257950,90.109756,84.478775
5,0.041667,-0.010278,-0.023320,0.014875,-0.999565,-215.257614,90.109268,84.478363
6,0.050000,-0.010169,-0.023364,0.014857,-0.999565,-215.257233,90.108032,84.479614
7,0.058333,-0.010237,-0.023331,0.014946,-0.999564,-215.257767,90.109436,84.479530
8,0.066667,-0.010208,-0.023265,0.014914,-0.999566,-215.257721,90.109764,84.478691
9,0.075000,-0.010199,-0.023333,0.014961,-0.999564,-215.257782,90.109924,84.480164
10,0.083333,-0.010238,-0.023335,0.014872,-0.999565,-215.256912,90.108688,84.479782
11,0.091667,-0.010205,-0.023319,0.014858,-0.999566,-215.257233,90.108994,84.478951
12,0.100000,-0.010317,-0.023354,0.014990,-0.999562,-215.257217,90.109566,84.478188
13,0.108333,-0.009617,-0.023574,0.014877,-0.999565,-215.254166,90.115669,84.490692
14,0.116667,-0.009631,-0.023506,0.014965,-0.999565,-215.253326,90.115677,84.482895
15,0.125000,-0.009932,-0.023369,0.014809,-0.999568,-215.254929,90.111938,84.477715
16,0.133333,-0.010129,-0.023345,0.014811,-0.999566,-215.257401,90.109741,84.478035
17,0.141667,-0.010276,-0.023355,0.014882,-0.999564,-215.257568,90.108498,84.478180
18,0.150000,-0.010200,-0.023351,0.014843,-0.999565,-215.257767,90.108658,84.479935
