Format Version,1.25,Take Name,Take 2025-11-28 06.44.08 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.44.09.323 PM,Capture Start Frame,3155337,Total Frames in Take,1254,Total Exported Frames,1254,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium,SEE_medium
,ID,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92,99D1A06ACB9411F031C44B617C101E92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,-0.013486,-0.015124,0.014646,-0.999687,-215.264160,90.059891,84.539314
1,0.008333,-0.014201,-0.015180,0.014647,-0.999677,-215.261627,90.055695,84.534904
2,0.016667,-0.013153,-0.015042,0.014886,-0.999690,-215.265518,90.065208,84.538765
3,0.025000,-0.011432,-0.015092,0.014959,-0.999709,-215.265915,90.080505,84.550209
4,0.033333,-0.010407,-0.015177,0.015215,-0.999715,-215.263885,90.091942,84.556412
5,0.041667,-0.010422,-0.015302,0.015195,-0.999713,-215.262772,90.092445,84.557549
6,0.050000,-0.010365,-0.015303,0.015044,-0.999716,-215.262390,90.090500,84.557304
7,0.058333,-0.010461,-0.015266,0.015170,-0.999714,-215.263367,90.090187,84.557899
8,0.066667,-0.010484,-0.015169,0.015121,-0.999716,-215.263016,90.090469,84.557930
9,0.075000,-0.010523,-0.015174,0.015127,-0.999715,-215.263611,90.090652,84.559029
10,0.083333,-0.010493,-0.015206,0.015159,-0.999714,-215.263458,90.090103,84.558868
11,0.091667,-0.010482,-0.015263,0.015165,-0.999714,-215.264130,90.090378,84.558929
12,0.100000,-0.010478,-0.015266,0.015034,-0.999716,-215.263290,90.089836,84.560844
13,0.108333,-0.010346,-0.015240,0.015018,-0.999718,-215.263824,90.090027,84.560982
14,0.116667,-0.010455,-0.015303,0.015110,-0.999714,-215.263275,90.089554,84.560143
15,0.125000,-0.010411,-0.015270,0.015071,-0.999716,-215.263550,90.089867,84.559830
16,0.133333,-0.010457,-0.015293,0.015115,-0.999714,-215.263443,90.090279,84.559944
17,0.141667,-0.010526,-0.015315,0.015137,-0.999713,-215.263672,90.090858,84.559471
18,0.150000,-0.010471,-0.015269,0.015148,-0.999714,-215.263397,90.090317,84.557884
