Format Version,1.25,Take Name,G2 ML Take 2025-11-28_00_044,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 04.50.29.449 PM,Capture Start Frame,2336970,Total Frames in Take,1158,Total Exported Frames,1158,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.030244,0.291831,-0.047589,0.954806,-218.961365,84.528336,85.167000
1,0.008333,0.029754,0.291824,-0.047848,0.954811,-218.962341,84.524933,85.167290
2,0.016667,0.030549,0.292141,-0.047578,0.954702,-218.964340,84.530457,85.168167
3,0.025000,0.030826,0.292040,-0.047596,0.954723,-218.962860,84.531578,85.168121
4,0.033333,0.030838,0.291942,-0.047769,0.954745,-218.962646,84.532341,85.166458
5,0.041667,0.030753,0.292010,-0.047986,0.954716,-218.963974,84.532341,85.167816
6,0.050000,0.030860,0.292003,-0.047979,0.954715,-218.963974,84.533501,85.167542
7,0.058333,0.030745,0.291936,-0.047755,0.954750,-218.963211,84.533463,85.167160
8,0.066667,0.030822,0.292007,-0.047570,0.954735,-218.962997,84.531960,85.167480
9,0.075000,0.031041,0.292076,-0.047273,0.954722,-218.963074,84.531326,85.167000
10,0.083333,0.031026,0.291989,-0.047283,0.954748,-218.963928,84.531433,85.166115
11,0.091667,0.030833,0.292034,-0.047445,0.954733,-218.963867,84.531250,85.166298
12,0.100000,0.030942,0.291979,-0.047394,0.954749,-218.963699,84.532181,85.166771
13,0.108333,0.030961,0.291989,-0.047641,0.954732,-218.962936,84.532448,85.167625
14,0.116667,0.030875,0.291958,-0.047843,0.954735,-218.962479,84.532318,85.166855
15,0.125000,0.030879,0.291969,-0.047524,0.954747,-218.962906,84.532394,85.167091
16,0.133333,0.030952,0.291932,-0.047349,0.954765,-218.962982,84.532532,85.166557
17,0.141667,0.030929,0.291999,-0.047521,0.954736,-218.963760,84.531631,85.167320
18,0.150000,0.030830,0.292037,-0.047394,0.954734,-218.964172,84.532387,85.167389
19,0.158333,0.030704,0.292056,-0.047592,0.954723,-218.963806,84.532234,85.166656
20,0.166667,0.030987,0.291997,-0.047366,0.954743,-218.963669,84.532639,85.166618
21,0.175000,0.030886,0.292005,-0.047250,0.954750,-218.963715,84.533379,85.167503
22,0.183333,0.030742,0.292019,-0.047411,0.954742,-218.964478,84.532112,85.166931
23,0.191667,0.030887,0.292020,-0.047633,0.954726,-218.963669,84.532066,85.168190
24,0.200000,0.030875,0.292091,-0.047600,0.954706,-218.963242,84.532036,85.167084
25,0.208333,0.030789,0.291991,-0.047608,0.954739,-218.963760,84.531700,85.166374
26,0.216667,0.030731,0.291976,-0.047717,0.954740,-218.964081,84.531960,85.165756
27,0.225000,0.030676,0.291933,-0.047864,0.954748,-218.963272,84.532433,85.167938
28,0.233333,0.030788,0.292030,-0.047869,0.954714,-218.962692,84.531853,85.168198
29,0.241667,0.030857,0.291994,-0.047581,0.954737,-218.962616,84.532913,85.166794
30,0.250000,0.030803,0.292007,-0.047367,0.954746,-218.963074,84.532043,85.165993
31,0.258333,0.030733,0.291949,-0.047309,0.954769,-218.963455,84.530754,85.167412
32,0.266667,0.030864,0.292044,-0.047333,0.954734,-218.962677,84.532539,85.167053
33,0.275000,0.030902,0.291923,-0.047357,0.954769,-218.962448,84.532967,85.167015
34,0.283333,0.030735,0.291939,-0.047323,0.954771,-218.963104,84.531914,85.167389
35,0.291667,0.030895,0.291999,-0.047394,0.954744,-218.963760,84.532204,85.166901
36,0.300000,0.030979,0.291992,-0.047699,0.954728,-218.963486,84.533020,85.166573
37,0.308333,0.030930,0.292034,-0.047560,0.954724,-218.963120,84.533302,85.167160
38,0.316667,0.030851,0.292017,-0.047493,0.954735,-218.962891,84.531311,85.166893
