Format Version,1.25,Take Name,G2 ML Take 2025-11-28_00_105,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 06.04.12.317 PM,Capture Start Frame,2867703,Total Frames in Take,1055,Total Exported Frames,1055,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.031116,0.295008,-0.047018,0.953830,-218.935806,84.546989,85.299294
1,0.008333,0.031185,0.294944,-0.046939,0.953851,-218.934891,84.547516,85.299644
2,0.016667,0.031133,0.295016,-0.046959,0.953830,-218.934174,84.548134,85.298836
3,0.025000,0.031052,0.295024,-0.047043,0.953826,-218.934204,84.548180,85.298851
4,0.033333,0.030914,0.295034,-0.047135,0.953823,-218.932693,84.548111,85.298576
5,0.041667,0.030991,0.295030,-0.047287,0.953814,-218.932037,84.548882,85.297897
6,0.050000,0.030915,0.294999,-0.047308,0.953825,-218.931839,84.548210,85.298584
7,0.058333,0.031044,0.294984,-0.047138,0.953834,-218.931229,84.549156,85.297539
8,0.066667,0.031127,0.294932,-0.047157,0.953846,-218.932007,84.548111,85.297493
9,0.075000,0.031027,0.294988,-0.046999,0.953840,-218.931076,84.547562,85.296165
10,0.083333,0.031071,0.294960,-0.047074,0.953843,-218.931747,84.547409,85.295395
11,0.091667,0.031117,0.294924,-0.047179,0.953848,-218.931992,84.549171,85.294502
12,0.100000,0.030960,0.294901,-0.047377,0.953850,-218.932129,84.548195,85.295616
13,0.108333,0.030850,0.294976,-0.047336,0.953833,-218.932312,84.548203,85.297165
14,0.116667,0.030821,0.294996,-0.047401,0.953824,-218.932632,84.546951,85.297745
15,0.125000,0.031017,0.295058,-0.047079,0.953815,-218.933105,84.547928,85.298073
16,0.133333,0.031166,0.295023,-0.047009,0.953824,-218.932770,84.547783,85.298584
17,0.141667,0.031060,0.294984,-0.046949,0.953843,-218.932770,84.547073,85.298019
18,0.150000,0.030964,0.294953,-0.046843,0.953861,-218.933609,84.547943,85.298065
19,0.158333,0.031023,0.295026,-0.047309,0.953813,-218.932678,84.547951,85.299362
20,0.166667,0.030928,0.295015,-0.047577,0.953806,-218.933228,84.548645,85.300568
21,0.175000,0.030910,0.294966,-0.047587,0.953821,-218.932678,84.549393,85.300354
22,0.183333,0.030937,0.295032,-0.047614,0.953799,-218.932693,84.549995,85.299416
23,0.191667,0.030982,0.294999,-0.047450,0.953816,-218.931915,84.548981,85.298691
24,0.200000,0.031073,0.294998,-0.047117,0.953829,-218.930893,84.548355,85.297020
25,0.208333,0.031172,0.294923,-0.046862,0.953862,-218.931168,84.549179,85.296455
26,0.216667,0.031040,0.294974,-0.046902,0.953849,-218.930267,84.547676,85.296669
27,0.225000,0.031153,0.295040,-0.046648,0.953837,-218.930191,84.548073,85.296188
28,0.233333,0.031094,0.294953,-0.046909,0.953853,-218.929672,84.547134,85.295639
29,0.241667,0.031063,0.294960,-0.047291,0.953833,-218.929794,84.546959,85.295830
30,0.250000,0.031066,0.294941,-0.047275,0.953839,-218.930466,84.547005,85.296249
31,0.258333,0.031059,0.294898,-0.047207,0.953856,-218.929596,84.547897,85.295769
32,0.266667,0.031053,0.294934,-0.047059,0.953853,-218.930603,84.548103,85.296379
33,0.275000,0.031072,0.294906,-0.046857,0.953871,-218.931061,84.547928,85.297005
34,0.283333,0.030913,0.295004,-0.046954,0.953841,-218.930679,84.547493,85.297249
35,0.291667,0.030963,0.294963,-0.047130,0.953843,-218.931671,84.547920,85.298416
36,0.300000,0.030982,0.294941,-0.047383,0.953837,-218.931076,84.547699,85.298958
37,0.308333,0.030999,0.294946,-0.047439,0.953832,-218.930679,84.549294,85.300323
38,0.316667,0.031021,0.295008,-0.047318,0.953818,-218.930405,84.549149,85.300537
