Format Version,1.25,Take Name,G2 ML Take 2025-11-28_00_067,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-11-28 05.42.21.335 PM,Capture Start Frame,2710388,Total Frames in Take,1299,Total Exported Frames,1299,Rotation Type,Quaternion,Length Units,Centimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small,SEE_small
,ID,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92,E70901BFC9E711F031C44B617C101B92
,Parent,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.031004,0.294684,-0.047381,0.953916,-218.927032,84.543571,85.294601
1,0.008333,0.031143,0.294664,-0.047295,0.953921,-218.926712,84.542648,85.293510
2,0.016667,0.030853,0.294640,-0.047476,0.953929,-218.926880,84.544518,85.293373
3,0.025000,0.030807,0.294734,-0.047495,0.953901,-218.927292,84.545609,85.293755
4,0.033333,0.031085,0.294642,-0.047496,0.953920,-218.927979,84.544640,85.294228
5,0.041667,0.030983,0.294678,-0.047407,0.953917,-218.927734,84.544678,85.293083
6,0.050000,0.030966,0.294659,-0.047424,0.953923,-218.928528,84.543976,85.294189
7,0.058333,0.030978,0.294684,-0.047646,0.953903,-218.928177,84.544174,85.294075
8,0.066667,0.031093,0.294695,-0.047597,0.953899,-218.928528,84.543404,85.293053
9,0.075000,0.031068,0.294603,-0.047555,0.953930,-218.929245,84.544952,85.293648
10,0.083333,0.031031,0.294737,-0.047653,0.953885,-218.928604,84.544930,85.292801
11,0.091667,0.031104,0.294661,-0.047612,0.953908,-218.928558,84.544380,85.292336
12,0.100000,0.031128,0.294627,-0.047543,0.953921,-218.928192,84.544121,85.292587
13,0.108333,0.031038,0.294673,-0.047514,0.953911,-218.928696,84.543602,85.293045
14,0.116667,0.031011,0.294684,-0.047616,0.953904,-218.928955,84.544838,85.293503
15,0.125000,0.031069,0.294658,-0.047422,0.953920,-218.928650,84.545509,85.293221
16,0.133333,0.031143,0.294665,-0.047273,0.953922,-218.928452,84.545181,85.293503
17,0.141667,0.031125,0.294663,-0.047283,0.953923,-218.928116,84.544266,85.293518
18,0.150000,0.031294,0.294694,-0.047091,0.953917,-218.928558,84.544258,85.293823
19,0.158333,0.031188,0.294690,-0.047222,0.953916,-218.928604,84.544136,85.293159
20,0.166667,0.031068,0.294658,-0.047425,0.953920,-218.929169,84.543640,85.292915
21,0.175000,0.031063,0.294694,-0.047481,0.953906,-218.929153,84.545547,85.293266
22,0.183333,0.031015,0.294750,-0.047577,0.953885,-218.929001,84.544861,85.293884
23,0.191667,0.031037,0.294734,-0.047400,0.953898,-218.929672,84.543518,85.294075
24,0.200000,0.030977,0.294691,-0.047224,0.953922,-218.929764,84.545013,85.291901
25,0.208333,0.031224,0.294640,-0.047297,0.953926,-218.931000,84.545067,85.291985
26,0.216667,0.031123,0.294675,-0.047439,0.953912,-218.931702,84.544479,85.292023
27,0.225000,0.031023,0.294688,-0.047394,0.953913,-218.932510,84.545769,85.291710
28,0.233333,0.031045,0.294629,-0.047354,0.953933,-218.932526,84.546188,85.292007
29,0.241667,0.031118,0.294692,-0.047677,0.953895,-218.932098,84.547119,85.291473
30,0.250000,0.030960,0.294730,-0.047734,0.953885,-218.932556,84.548012,85.291824
31,0.258333,0.030939,0.294746,-0.047602,0.953888,-218.931671,84.547340,85.291039
32,0.266667,0.030997,0.294704,-0.047666,0.953895,-218.932800,84.546021,85.291443
33,0.275000,0.031106,0.294672,-0.047428,0.953914,-218.934219,84.545425,85.292397
34,0.283333,0.031284,0.294682,-0.047122,0.953920,-218.934296,84.544411,85.291412
35,0.291667,0.031258,0.294700,-0.046921,0.953925,-218.934372,84.545242,85.292175
36,0.300000,0.031128,0.294708,-0.047373,0.953905,-218.934448,84.545509,85.293556
37,0.308333,0.030946,0.294714,-0.047532,0.953901,-218.934708,84.545662,85.292908
38,0.316667,0.031062,0.294727,-0.047597,0.953890,-218.934891,84.544746,85.292038
